Sample, accel, ADC_0, ADC_1, ADC_2, Interval,,time, acceleration
142,1135.8748,736.8421,593.0434,628.9473,5.267,,742.6688,1135.8748
143,1138.3237,737.7192,594.7825,630.7017,5.2703,,747.9391,1138.3237
144,1137.3835,737.7192,593.913,629.8245,5.2857,,753.2248,1137.3835
145,1138.0981,735.9649,596.5217,630.7017,5.2874,,758.5122,1138.0981
146,1139.6071,736.8421,597.3912,631.5789,5.2705,,763.7827,1139.6071
147,1139.4456,738.5964,593.0434,633.3333,5.2738,,769.0565,1139.4456
148,1139.9156,739.4736,595.6521,630.7017,5.2793,,774.3358,1139.9156
149,1139.3468,738.5964,595.6521,630.7017,5.2748,,779.6106,1139.3468
150,1134.1086,734.2105,594.7825,627.1929,5.2744,,784.885,1134.1086
151,1136.2788,735.9649,593.0434,630.7017,5.2792,,790.1642,1136.2788
152,1137.8696,737.7192,593.913,630.7017,5.2797,,795.4439,1137.8696
153,1140.2377,737.7192,595.6521,633.3333,5.2793,,800.7232,1140.2377
154,1138.9583,738.5964,593.0434,632.4561,5.2727,,805.9959,1138.9583
155,1137.6425,735.9649,595.6521,630.7017,5.2803,,811.2762,1137.6425
156,1139.0612,740.3508,594.7825,628.9473,5.2873,,816.5635,1139.0612
157,1138.8923,738.5964,594.7825,630.7017,5.2695,,821.833,1138.8923
158,1139.0078,739.4736,593.913,630.7017,5.2857,,827.1187,1139.0078
159,1141.6245,742.1052,595.6521,630.7017,5.2786,,832.3973,1141.6245
160,1136.6199,735.0877,594.7825,630.7017,5.2722,,837.6695,1136.6199
161,1134.3453,732.4561,597.3912,627.1929,5.2711,,842.9406,1134.3453
162,1137.616,739.4736,592.1738,629.8245,5.283,,848.2236,1137.616
163,1138.2102,736.8421,595.6521,630.7017,5.2847,,853.5083,1138.2102
164,1138.129,735.9649,595.6521,631.5789,5.2743,,858.7826,1138.129
165,1140.0799,735.9649,595.6521,635.0877,5.2744,,864.057,1140.0799
166,1141.1007,736.8421,596.5217,635.0877,5.2792,,869.3362,1141.1007
167,1138.5545,739.4736,593.0434,630.7017,5.2673,,874.6035,1138.5545
168,1139.8016,738.5964,596.5217,630.7017,5.2695,,879.873,1139.8016
169,1138.0493,735.0877,595.6521,632.4561,5.2863,,885.1593,1138.0493
170,1140.2377,737.7192,595.6521,633.3333,5.2776,,890.4369,1140.2377
171,1141.5891,736.8421,596.5217,635.9649,5.2732,,895.7101,1141.5891
172,1136.119,734.2105,593.0434,632.4561,5.276,,900.9861,1136.119
173,1139.9686,735.0877,596.5217,635.0877,5.2765,,906.2626,1139.9686
174,1140.1252,736.8421,596.5217,633.3333,5.2793,,911.5419,1140.1252
175,1136.5084,734.2105,595.6521,630.7017,5.2716,,916.8135,1136.5084
176,1141.5086,741.228,596.5217,630.7017,5.2857,,922.0992,1141.5086
177,1140.8741,738.5964,593.913,635.0877,5.283,,927.3822,1140.8741
178,1137.1875,735.9649,594.7825,630.7017,5.2721,,932.6543,1137.1875
179,1135.2485,734.2105,590.4347,633.3333,5.2738,,937.9281,1135.2485
180,1138.882,734.2105,597.3912,633.3333,5.2821,,943.2102,1138.882
181,1138.0981,735.9649,596.5217,630.7017,5.284,,948.4942,1138.0981
